commune,Wilaya_name,Wilaya
Mechraa Houari Boumedienne,Béchar,
Meridja,Béchar,
Mougheul,Béchar,
Ouled Khoudir,Béchar,
Tabelbala,Béchar,
Taghit,Béchar,
Tamtert,Béchar,
Timoudi,Béchar,
Aïn Romana,Blida,
Beni Mered,Blida,
Beni Tamou,Blida,
Benkhelil,Blida,
Blida,Blida,
Bouarfa,Blida,
Boufarik,Blida,
Bougara,Blida,
Bouinan,Blida,
Chebli,Blida,
Chiffa,Blida,
Chréa,Blida,
Djebabra,Blida,
El Affroun,Blida,
Guerouaou,Blida,
Hammam Melouane,Blida,
Larbaa,Blida,
Meftah,Blida,
Mouzaia,Blida,
Oued Alleug,Blida,
Oued Djer,Blida,
Ouled Slama,Blida,
Ouled Yaïch,Blida,
Souhane,Blida,
Soumaa,Blida,
Aghbalou,Bouira,
Ahl El Ksar,Bouira,
Aïn Bessem,Bouira,
Aïn El Hadjar,Bouira,
Aïn El Turc,Bouira,
Aïn Laloui,Bouira,
Aït Laziz,Bouira,
Aomar,Bouira,
Ath Mansour,Bouira,
Bechloul,Bouira,
Bir Ghbalou,Bouira,
Bordj Okhriss,Bouira,
Bouderbala,Bouira,
Bouira,Bouira,
Boukram,Bouira,
Chorfa,Bouira,
Dechmia,Bouira,
Dirrah,Bouira,
Djebahia,Bouira,
El Adjiba,Bouira,
El Asnam,Bouira,
El Hachimia,Bouira,
El Hakimia,Bouira,
El Khabouzia,Bouira,
El Mokrani,Bouira,
Guerrouma,Bouira,
Hadjera Zerga,Bouira,
Haizer,Bouira,
Hanif,Bouira,
Kadiria,Bouira,
Lakhdaria,Bouira,
M'Chedallah,Bouira,
Maala,Bouira,
Maamora,Bouira,
Mezdour,Bouira,
Oued El Berdi,Bouira,
Ouled Rached,Bouira,
Raouraoua,Bouira,
Ridane,Bouira,
Saharidj,Bouira,
Souk El Khemis,Bouira,
Sour El Ghouzlane,Bouira,
Taghzout,Bouira,
Taguedit,Bouira,
Zbarbar,Bouira,
Abalessa,Tamanrasset,
Foggaret Ezzaouia,Tamanrasset,
Idles,Tamanrasset,
In Amguel,Tamanrasset,
In Ghar,Tamanrasset,
In Guezzam,Tamanrasset,
In Salah,Tamanrasset,
Tamanrasset,Tamanrasset,
Tazrouk,Tamanrasset,
Tin Zaouatine,Tamanrasset,
Aïn Zerga,Tébessa,
Bedjene,Tébessa,
Bekkaria,Tébessa,
Bir Dheb,Tébessa,
Bir el Ater,Tébessa,
Bir Mokkadem,Tébessa,
Boukhadra,Tébessa,
Boulhaf Dir,Tébessa,
Cheria,Tébessa,
El Aouinet,Tébessa,
El Houidjbet,Tébessa,
El Kouif,Tébessa,
El Ma Labiodh,Tébessa,
El Meridj,Tébessa,
El Mezeraa,Tébessa,
El Ogla,Tébessa,
Ferkane,Tébessa,
Guorriguer,Tébessa,
Hammamet,Tébessa,
Morsott,Tébessa,
Negrine,Tébessa,
Ogla Melha,Tébessa,
Ouenza,Tébessa,
Oum Ali,Tébessa,
Safsaf El Ouesra,Tébessa,
Stah Guentis,Tébessa,
Tébessa,Tébessa,
Tlidjene,Tébessa,
Aïn Fetah,Tlemcen,
Aïn Fezza,Tlemcen,
Aïn Ghoraba,Tlemcen,
Aïn Kebira,Tlemcen,
Aïn Nehala,Tlemcen,
Aïn Tallout,Tlemcen,
Aïn Youcef,Tlemcen,
Amieur,Tlemcen,
Azails,Tlemcen,
Bab El Assa,Tlemcen,
Beni Bahdel,Tlemcen,
Beni Boussaid,Tlemcen,
Beni Khellad,Tlemcen,
Beni Mester,Tlemcen,
Beni Ouarsous,Tlemcen,
Beni Semiel,Tlemcen,
Beni Snous,Tlemcen,
Bensekrane,Tlemcen,
Bouhlou,Tlemcen,
Chetouane,Tlemcen,
Dar Yaghmouracene,Tlemcen,
Djebala,Tlemcen,
El Aricha,Tlemcen,
El Bouihi,Tlemcen,
El Fehoul,Tlemcen,
El Gor,Tlemcen,
Fellaoucene,Tlemcen,
Ghazaouet,Tlemcen,
Hammam Boughrara,Tlemcen,
Hennaya,Tlemcen,
Honaïne,Tlemcen,
Maghnia,Tlemcen,
Mansourah,Tlemcen,
Marsa Ben M'Hidi,Tlemcen,
MSirda Fouaga,Tlemcen,
Nedroma,Tlemcen,
Oued Lakhdar,Tlemcen,
Ouled Mimoun,Tlemcen,
Ouled Riyah,Tlemcen,
Remchi,Tlemcen,
Sabra,Tlemcen,
Sebaa Chioukh,Tlemcen,
Sebdou,Tlemcen,
Sidi Abdelli,Tlemcen,
Sidi Djillali,Tlemcen,
Sidi Medjahed,Tlemcen,
Souahlia,Tlemcen,
Souani,Tlemcen,
Souk Tlata,Tlemcen,
Terny Beni Hdiel,Tlemcen,
Tienet,Tlemcen,
Tlemcen,Tlemcen,
Zenata,Tlemcen,
Aïn Bouchekif,Tiaret,
Aïn Deheb,Tiaret,
Aïn Dzarit,Tiaret,
Aïn El Hadid,Tiaret,
Aïn Kermes,Tiaret,
Bougara,Tiaret,
Chehaima,Tiaret,
Dahmouni,Tiaret,
Djebilet Rosfa,Tiaret,
Djillali Ben Amar,Tiaret,
Faidja,Tiaret,
Frenda,Tiaret,
Guertoufa,Tiaret,
Hamadia,Tiaret,
Ksar Chellala,Tiaret,
Madna,Tiaret,
Mahdia,Tiaret,
Mechraa Safa,Tiaret,
Medrissa,Tiaret,
Medroussa,Tiaret,
Meghila,Tiaret,
Mellakou,Tiaret,
Nadorah,Tiaret,
Naima,Tiaret,
Oued Lilli,Tiaret,
Rahouia,Tiaret,
Rechaiga,Tiaret,
Sebaine,Tiaret,
Sebt,Tiaret,
Serghine,Tiaret,
Si Abdelghani,Tiaret,
Sidi Abderahmane,Tiaret,
Sidi Ali Mellal,Tiaret,
Sidi Bakhti,Tiaret,
Sidi Hosni,Tiaret,
Sougueur,Tiaret,
Tagdemt,Tiaret,
Takhemaret,Tiaret,
Tiaret,Tiaret,
Tidda,Tiaret,
Tousnina,Tiaret,
Zmalet El Emir Abdelkader,Tiaret,
Abi Youcef,Tizi Ouzou,
Aghribs,Tizi Ouzou,
Agouni Gueghrane,Tizi Ouzou,
Ain El Hammam,Tizi Ouzou,
Aïn Zaouia,Tizi Ouzou,
Aït Aggouacha,Tizi Ouzou,
Aït Aïssa Mimoun,Tizi Ouzou,
Aït Bouadou,Tizi Ouzou,
Aït Boumahdi,Tizi Ouzou,
Aït Chafâa,Tizi Ouzou,
Aït Khellili,Tizi Ouzou,
Aït Mahmoud,Tizi Ouzou,
Aït Oumalou,Tizi Ouzou,
Aït Toudert,Tizi Ouzou,
Aït Yahia,Tizi Ouzou,
Aït Yahia Moussa,Tizi Ouzou,
Aït Yenni,Tizi Ouzou,
Akbil,Tizi Ouzou,
Akerrou,Tizi Ouzou,
Assi Youcef,Tizi Ouzou,
Ath Zikki,Tizi Ouzou,
Azazga,Tizi Ouzou,
Azeffoun,Tizi Ouzou,
Beni Aïssi,Tizi Ouzou,
Beni Douala,Tizi Ouzou,
Beni Zmenzer,Tizi Ouzou,
Boghni,Tizi Ouzou,
Boudjima,Tizi Ouzou,
Bounouh,Tizi Ouzou,
Bouzguen,Tizi Ouzou,
Draâ Ben Khedda,Tizi Ouzou,
Draâ El Mizan,Tizi Ouzou,
Freha,Tizi Ouzou,
Frikat,Tizi Ouzou,
Iboudraren,Tizi Ouzou,
Idjeur,Tizi Ouzou,
Iferhounène,Tizi Ouzou,
Ifigha,Tizi Ouzou,
Iflissen,Tizi Ouzou,
Illilten,Tizi Ouzou,
Illoula Oumalou,Tizi Ouzou,
Imsouhel,Tizi Ouzou,
Irdjen,Tizi Ouzou,
Larbaâ Nath Irathen,Tizi Ouzou,
M'Kira,Tizi Ouzou,
Mâatkas,Tizi Ouzou,
Makouda,Tizi Ouzou,
Mechtras,Tizi Ouzou,
Mekla,Tizi Ouzou,
Mizrana,Tizi Ouzou,
Ouacif,Tizi Ouzou,
Ouadhia,Tizi Ouzou,
Ouaguenoun,Tizi Ouzou,
Sidi Namane,Tizi Ouzou,
Souamaâ,Tizi Ouzou,
Souk El Thenine,Tizi Ouzou,
Tadmaït,Tizi Ouzou,
Tigzirt,Tizi Ouzou,
Timizart,Tizi Ouzou,
Tirmitine,Tizi Ouzou,
Tizi Gheniff,Tizi Ouzou,
Tizi N'Tleta,Tizi Ouzou,
Tizi Ouzou,Tizi Ouzou,
Tizi Rached,Tizi Ouzou,
Yakouren,Tizi Ouzou,
Yatafen,Tizi Ouzou,
Zekri,Tizi Ouzou,
Aïn Benian,Alger,
Aïn Taya,Alger,
Alger Centre,Alger,
Bab El Oued,Alger,
Bab Ezzouar,Alger,
Baba Hassen,Alger,
Bachdjerrah,Alger,
Baraki,Alger,
Belouizdad,Alger,
Ben Aknoun,Alger,
Beni Messous,Alger,
Bir Mourad Raïs,Alger,
Birkhadem,Alger,
Birtouta,Alger,
Bologhine,Alger,
Bordj El Bahri,Alger,
Bordj El Kiffan,Alger,
Bourouba,Alger,
Bouzareah,Alger,
Casbah,Alger,
Cheraga,Alger,
Dar El Beïda,Alger,
Dely Ibrahim,Alger,
Djasr Kasentina,Alger,
Douera,Alger,
Draria,Alger,
El Achour,Alger,
El Biar,Alger,
El Hammamet,Alger,
El Harrach,Alger,
El Madania,Alger,
El Magharia,Alger,
El Marsa,Alger,
El Mouradia,Alger,
H'raoua,Alger,
Hussein Dey,Alger,
Hydra,Alger,
Khraicia,Alger,
Kouba,Alger,
Les Eucalyptus,Alger,
Mahelma,Alger,
Mohammadia,Alger,
Oued Koriche,Alger,
Oued Smar,Alger,
Ouled Chebel,Alger,
Ouled Fayet,Alger,
Rahmania,Alger,
Raïs Hamidou,Alger,
Reghaïa,Alger,
Rouïba,Alger,
Saoula,Alger,
Sidi M'Hamed,Alger,
Sidi Moussa,Alger,
Souidania,Alger,
Staoueli,Alger,
Tessala El Merdja,Alger,
Zeralda,Alger,
Aïn Chouhada,Djelfa,
Aïn El Ibel,Djelfa,
Aïn Feka,Djelfa,
Aïn Maabed,Djelfa,
Aïn Oussara,Djelfa,
Amourah,Djelfa,
Benhar,Djelfa,
Beni Yagoub,Djelfa,
Birine,Djelfa,
Bouira Lahdab,Djelfa,
Charef,Djelfa,
Dar Chioukh,Djelfa,
Deldoul,Djelfa,
Djelfa,Djelfa,
Douis,Djelfa,
El Guedid,Djelfa,
El Idrissia,Djelfa,
El Khemis,Djelfa,
Faidh El Botma,Djelfa,
Guernini,Djelfa,
Guettara,Djelfa,
Had Sahary,Djelfa,
Hassi Bahbah,Djelfa,
Hassi El Euch,Djelfa,
Hassi Fedoul,Djelfa,
M'Liliha,Djelfa,
Messaad,Djelfa,
Moudjebara,Djelfa,
Oum Laadham,Djelfa,
Sed Rahal,Djelfa,
Selmana,Djelfa,
Sidi Baizid,Djelfa,
Sidi Ladjel,Djelfa,
Tadmit,Djelfa,
Zaafrane,Djelfa,
Zaccar,Djelfa,
Bordj Tahar,Jijel,
Boucif Ouled Askeur,Jijel,
Boudriaa Ben Yadjis,Jijel,
Bouraoui Belhadef,Jijel,
Chahna,Jijel,
Chekfa,Jijel,
Djemaa Beni Habibi,Jijel,
Djimla,Jijel,
El Ancer,Jijel,
El Aouana,Jijel,
El Kennar Nouchfi,Jijel,
El Milia,Jijel,
Emir Abdelkader,Jijel,
Eraguene,Jijel,
Ghebala,Jijel,
Jijel,Jijel,
Kaous,Jijel,
Kheïri Oued Adjoul,Jijel,
Ouadjana,Jijel,
Ouled Rabah,Jijel,
Ouled Yahia Khedrouche,Jijel,
Selma Benziada,Jijel,
Settara,Jijel,
Sidi Abdelaziz,Jijel,
Sidi Maarouf,Jijel,
Taher,Jijel,
Texenna,Jijel,
Ziama Mansouriah,Jijel,
Aïn Abessa,Sétif,
Aïn Arnat,Sétif,
Aïn Azel,Sétif,
Aïn El Kebira,Sétif,
Aïn Lahdjar,Sétif,
Aïn Legradj,Sétif,
Aïn Oulmene,Sétif,
Aïn Roua,Sétif,
Aïn Sebt,Sétif,
Aït Naoual Mezada,Sétif,
Aït Tizi,Sétif,
Aït Wertilan,Sétif,
Amoucha,Sétif,
Babor,Sétif,
Bazer Sakhra,Sétif,
Beidha Bordj,Sétif,
Belaa,Sétif,
Beni Aziz,Sétif,
Beni Chebana,Sétif,
Beni Fouda,Sétif,
Beni Hocine,Sétif,
Beni Mouhli,Sétif,
Bir El Arch,Sétif,
Bir Haddada,Sétif,
Bouandas,Sétif,
Bougaa,Sétif,
Bousselam,Sétif,
Boutaleb,Sétif,
Dehamcha,Sétif,
Djemila,Sétif,
Draa Kebila,Sétif,
El Eulma,Sétif,
El Ouldja,Sétif,
El Ouricia,Sétif,
Guellal,Sétif,
Guelta Zerka,Sétif,
Guenzet,Sétif,
Guidjel,Sétif,
Hamma,Sétif,
Hammam Guergour,Sétif,
Hammam Soukhna,Sétif,
Harbil,Sétif,
Ksar El Abtal,Sétif,
Maaouia,Sétif,
Maoklane,Sétif,
Mezloug,Sétif,
Oued El Barad,Sétif,
Ouled Addouane,Sétif,
Ouled Sabor,Sétif,
Ouled Si Ahmed,Sétif,
Ouled Tebben,Sétif,
Rasfa,Sétif,
Salah Bey,Sétif,
Serdj El Ghoul,Sétif,
Sétif,Sétif,
Tachouda,Sétif,
Talaifacene,Sétif,
Taya,Sétif,
Tella,Sétif,
Tizi N'Bechar,Sétif,
Aïn El Hadjar,Saïda,
Aïn Sekhouna,Saïda,
Aïn Soltane,Saïda,
Doui Thabet,Saïda,
El Hassasna,Saïda,
Hounet,Saïda,
Maamora,Saïda,
Moulay Larbi,Saïda,
Ouled Brahim,Saïda,
Ouled Khaled,Saïda,
Saïda,Saïda,
Sidi Ahmed,Saïda,
Sidi Amar,Saïda,
Sidi Boubekeur,Saïda,
Tircine,Saïda,
Youb,Saïda,
Aïn Bouziane,Skikda,
Aïn Charchar,Skikda,
Aïn Kechra,Skikda,
Aïn Zouit,Skikda,
Azzaba,Skikda,
Bekkouche Lakhdar,Skikda,
Ben Azzouz,Skikda,
Beni Bechir,Skikda,
Beni Oulbane,Skikda,
Beni Zid,Skikda,
Bin El Ouiden,Skikda,
Bouchtata,Skikda,
Cheraia,Skikda,
Collo,Skikda,
Djendel Saadi Mohamed,Skikda,
El Ghedir,Skikda,
El Hadaiek,Skikda,
El Harrouch,Skikda,
El Marsa,Skikda,
Emdjez Edchich,Skikda,
Es Sebt,Skikda,
Filfila,Skikda,
Hamadi Krouma,Skikda,
Kanoua,Skikda,
Kerkera,Skikda,
Kheneg Mayoum,Skikda,
Oued Zehour,Skikda,
Ouldja Boulballout,Skikda,
Ouled Attia,Skikda,
Ouled Hbaba,Skikda,
Oum Toub,Skikda,
Ramdane Djamel,Skikda,
Salah Bouchaour,Skikda,
Sidi Mezghiche,Skikda,
Skikda,Skikda,
Tamalous,Skikda,
Zerdaza,Skikda,
Zitouna,Skikda,
Aïn Adden,Sidi Bel Abbès,
Aïn El Berd,Sidi Bel Abbès,
Aïn Kada,Sidi Bel Abbès,
Aïn Thrid,Sidi Bel Abbès,
Aïn Tindamine,Sidi Bel Abbès,
Amarnas,Sidi Bel Abbès,
Badredine El Mokrani,Sidi Bel Abbès,
Belarbi,Sidi Bel Abbès,
Ben Badis,Sidi Bel Abbès,
Benachiba Chelia,Sidi Bel Abbès,
Bir El Hammam,Sidi Bel Abbès,
Boudjebaa El Bordj,Sidi Bel Abbès,
Boukhanafis,Sidi Bel Abbès,
Chettouane Belaila,Sidi Bel Abbès,
Dhaya,Sidi Bel Abbès,
El Haçaiba,Sidi Bel Abbès,
Hassi Dahou,Sidi Bel Abbès,
Hassi Zehana,Sidi Bel Abbès,
Lamtar,Sidi Bel Abbès,
M'Cid,Sidi Bel Abbès,
Makedra,Sidi Bel Abbès,
Marhoum,Sidi Bel Abbès,
Merine,Sidi Bel Abbès,
Mezaourou,Sidi Bel Abbès,
Mostefa Ben Brahim,Sidi Bel Abbès,
Moulay Slissen,Sidi Bel Abbès,
Oued Sebaa,Sidi Bel Abbès,
Oued Sefioun,Sidi Bel Abbès,
Oued Taourira,Sidi Bel Abbès,
Ras El Ma,Sidi Bel Abbès,
Redjem Demouche,Sidi Bel Abbès,
Sehala Thaoura,Sidi Bel Abbès,
Sfisef,Sidi Bel Abbès,
Sidi Ali Benyoub,Sidi Bel Abbès,
Sidi Ali Boussidi,Sidi Bel Abbès,
Sidi Bel Abbes,Sidi Bel Abbès,
Sidi Brahim,Sidi Bel Abbès,
Sidi Chaib,Sidi Bel Abbès,
Sidi Daho des Zairs,Sidi Bel Abbès,
Sidi Hamadouche,Sidi Bel Abbès,
Sidi Khaled,Sidi Bel Abbès,
Sidi Lahcene,Sidi Bel Abbès,
Sidi Yacoub,Sidi Bel Abbès,
Tabia,Sidi Bel Abbès,
Tafissour,Sidi Bel Abbès,
Taoudmout,Sidi Bel Abbès,
Teghalimet,Sidi Bel Abbès,
Telagh,Sidi Bel Abbès,
Tenira,Sidi Bel Abbès,
Tessala,Sidi Bel Abbès,
Tilmouni,Sidi Bel Abbès,
Zerouala,Sidi Bel Abbès,
Aïn Berda,Annaba,
Annaba,Annaba,
Berrahal,Annaba,
Chetaïbi,Annaba,
Cheurfa,Annaba,
El Bouni,Annaba,
El Hadjar,Annaba,
Eulma,Annaba,
Oued El Aneb,Annaba,
Seraïdi,Annaba,
Sidi Amar,Annaba,
Treat,Annaba,
Aïn Ben Beida,Guelma,
Aïn Larbi,Guelma,
Aïn Makhlouf,Guelma,
Aïn Reggada,Guelma,
Aïn Sandel,Guelma,
Belkheir,Guelma,
Ben Djerrah,Guelma,
Beni Mezline,Guelma,
Bordj Sabath,Guelma,
Bouati Mahmoud,Guelma,
Bouchegouf,Guelma,
Bouhachana,Guelma,
Bouhamdane,Guelma,
Boumahra Ahmed,Guelma,
Dahouara,Guelma,
Djeballah Khemissi,Guelma,
El Fedjoudj,Guelma,
Guellat Bou Sbaa,Guelma,
Guelma,Guelma,
Hammam Debagh,Guelma,
Hammam N'Bail,Guelma,
Héliopolis,Guelma,
Houari Boumédiène,Guelma,
Khezarra,Guelma,
Medjez Amar,Guelma,
Medjez Sfa,Guelma,
Nechmaya,Guelma,
Oued Cheham,Guelma,
Oued Fragha,Guelma,
Oued Zenati,Guelma,
Ras El Agba,Guelma,
Roknia,Guelma,
Sellaoua Announa,Guelma,
Tamlouka,Guelma,
Aïn Abid,Constantine,
Aïn Smara,Constantine,
Beni Hamiden,Constantine,
Constantine,Constantine,
Didouche Mourad,Constantine,
El Khroub,Constantine,
Hamma Bouziane,Constantine,
Ibn Badis,Constantine,
Ibn Ziad,Constantine,
Messaoud Boudjriou,Constantine,
Ouled Rahmoune,Constantine,
Zighoud Youcef,Constantine,
Aïn Boucif,Médéa,
Aïn Ouksir,Médéa,
Aissaouia,Médéa,
Aziz,Médéa,
Baata,Médéa,
Benchicao,Médéa,
Beni Slimane,Médéa,
Berrouaghia,Médéa,
Bir Ben Laabed,Médéa,
Boghar,Médéa,
Bou Aiche,Médéa,
Bouaichoune,Médéa,
Bouchrahil,Médéa,
Boughezoul,Médéa,
Bouskene,Médéa,
Chahbounia,Médéa,
Chellalet El Adhaoura,Médéa,
Cheniguel,Médéa,
Derrag,Médéa,
Deux Bassins,Médéa,
Djouab,Médéa,
Draa Essamar,Médéa,
El Azizia,Médéa,
El Guelb El Kebir,Médéa,
El Hamdania,Médéa,
El Omaria,Médéa,
El Ouinet,Médéa,
Hannacha,Médéa,
Kef Lakhdar,Médéa,
Khams Djouamaa,Médéa,
Ksar Boukhari,Médéa,
Médéa,Médéa,
Meftaha,Médéa,
Meghraoua,Médéa,
